setting,model,method,seed,zero_activity,nominal_coverage,observed_coverage,coverage_gap,average_set_size,singleton_rate,ambiguity_rate,empty_set_rate,pass_coverage,fail_coverage,automatic_coverage,automatic_error_rate,deferral_rate,n_automatic,undercoverage,overcoverage,n_test,n_pass,n_fail,coverage_ci_lower,coverage_ci_upper,pass_ci_lower,pass_ci_upper,fail_ci_lower,fail_ci_upper,automatic_error_ci_lower,automatic_error_ci_upper,automatic_false_negative_fraction,automatic_false_positive_fraction,failure_rate
course_1,logistic,EIQ-batch,19,0,0.9,0.9202363367799113,0.020236336779911324,1.7636632200886262,0.2363367799113737,0.7636632200886263,0.0,0.8557692307692307,0.987891019172553,0.2363367799113737,0.3375,0.7636632200886263,480,0.0,0.020236336779911324,2031,1040,991,0.9076447064381077,0.9312412876527061,0.8331070984247599,0.8758128182415443,0.9789544026016515,0.9930597725477255,0.29663703219326326,0.38094330501010215,0.012108980827447022,0.14423076923076922,0.4879369768586903
course_1,logistic,EIQ-batch,19,1,0.9,1.0,0.09999999999999998,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.09999999999999998,69,26,43,0.9472627418109483,1.0,0.8712710781407846,1.0,0.9179901967742088,1.0,,,0.0,0.0,0.6231884057971014
course_1,logistic,EIQ-batch,42,0,0.9,0.9108813392417529,0.01088133924175283,1.707040866568193,0.292959133431807,0.707040866568193,0.0,0.9134615384615384,0.9081735620585267,0.292959133431807,0.3042016806722689,0.707040866568193,595,0.0,0.01088133924175283,2031,1040,991,0.8977020270290985,0.9225092934967178,0.8948160836835848,0.9290638194691472,0.8885835327353568,0.9246113666398716,0.26858822892808326,0.34232715348573656,0.09182643794147326,0.08653846153846154,0.4879369768586903
course_1,logistic,EIQ-batch,42,1,0.9,1.0,0.09999999999999998,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.09999999999999998,69,26,43,0.9472627418109483,1.0,0.8712710781407846,1.0,0.9179901967742088,1.0,,,0.0,0.0,0.6231884057971014
course_1,logistic,EIQ-batch,73,0,0.9,0.9340226489414082,0.03402264894140816,1.808961102904973,0.19103889709502708,0.8089611029049729,0.0,1.0,0.8647830474268415,0.19103889709502708,0.34536082474226804,0.8089611029049729,388,0.0,0.03402264894140816,2031,1040,991,0.9223862422029755,0.9440203234573085,0.9963198828823736,1.0,0.8420787590599105,0.8846702054002752,0.29977309640610644,0.39398059581125605,0.13521695257315844,0.0,0.4879369768586903
course_1,logistic,EIQ-batch,73,1,0.9,1.0,0.09999999999999998,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.09999999999999998,69,26,43,0.9472627418109483,1.0,0.8712710781407846,1.0,0.9179901967742088,1.0,,,0.0,0.0,0.6231884057971014
course_1,logistic,EIQ-batch,101,0,0.9,0.9020187099950763,0.002018709995076251,1.6967011324470704,0.3032988675529296,0.6967011324470704,0.0,0.9653846153846154,0.8355196770938446,0.3032988675529296,0.32305194805194803,0.6967011324470704,616,0.0,0.002018709995076251,2031,1040,991,0.888320470593163,0.914199053923708,0.9524508804915551,0.9748930104989618,0.8111517373533325,0.8572964803036848,0.28731752036364205,0.360979641922396,0.16448032290615539,0.03461538461538462,0.4879369768586903
course_1,logistic,EIQ-batch,101,1,0.9,1.0,0.09999999999999998,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.09999999999999998,69,26,43,0.9472627418109483,1.0,0.8712710781407846,1.0,0.9179901967742088,1.0,,,0.0,0.0,0.6231884057971014
course_1,logistic,EQ,7,0,0.9,0.8902018709995076,0.009798129000492373,1.6917774495322502,0.3082225504677499,0.6917774495322502,0.0,0.7903846153846154,0.9949545913218971,0.3082225504677499,0.3562300319488818,0.6917774495322502,626,0.009798129000492373,0.0,2031,1040,991,0.8758613712029104,0.9030690919687006,0.7646005467602931,0.8140313852213931,0.9882437341083471,0.9978430350969673,0.31969735261276183,0.3945164428127897,0.005045408678102927,0.20961538461538462,0.4879369768586903
course_1,logistic,EQ,7,1,0.9,1.0,0.09999999999999998,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.09999999999999998,69,26,43,0.9472627418109483,1.0,0.8712710781407846,1.0,0.9179901967742088,1.0,,,0.0,0.0,0.6231884057971014
course_1,logistic,EQ,19,0,0.9,0.8655834564254062,0.03441654357459378,1.6386016740521911,0.36139832594780896,0.638601674052191,0.0,0.7490384615384615,0.987891019172553,0.36139832594780896,0.37193460490463215,0.638601674052191,734,0.03441654357459378,0.0,2031,1040,991,0.8500567048942794,0.8797298804747063,0.7218041479869223,0.7744397936794908,0.9789544026016515,0.9930597725477255,0.337720942297413,0.4074817733368047,0.012108980827447022,0.25096153846153846,0.4879369768586903
course_1,logistic,EQ,19,1,0.9,1.0,0.09999999999999998,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.09999999999999998,69,26,43,0.9472627418109483,1.0,0.8712710781407846,1.0,0.9179901967742088,1.0,,,0.0,0.0,0.6231884057971014
course_1,logistic,EQ,42,0,0.9,0.8591826686361398,0.04081733136386023,1.585425898572132,0.41457410142786805,0.585425898572132,0.0,0.8125,0.9081735620585267,0.41457410142786805,0.33966745843230406,0.585425898572132,842,0.04081733136386023,0.0,2031,1040,991,0.843376282581202,0.8736328945591011,0.7876441534310734,0.83505577337041,0.8885835327353568,0.9246113666398716,0.30847106142133973,0.3723201823934944,0.09182643794147326,0.1875,0.4879369768586903
course_1,logistic,EQ,42,1,0.9,1.0,0.09999999999999998,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.09999999999999998,69,26,43,0.9472627418109483,1.0,0.8712710781407846,1.0,0.9179901967742088,1.0,,,0.0,0.0,0.6231884057971014
course_1,logistic,EQ,73,0,0.9,0.9566715903495815,0.05667159034958147,1.8508124076809453,0.14918759231905465,0.8508124076809453,0.0,0.9336538461538462,0.9808274470232089,0.14918759231905465,0.29042904290429045,0.8508124076809453,303,0.0,0.05667159034958147,2031,1040,991,0.9469214803719941,0.9646974528667052,0.9168754158477969,0.9472404825751849,0.9702495375358658,0.9876920435575739,0.24219141849469236,0.3439140560128652,0.01917255297679112,0.06634615384615385,0.4879369768586903
course_1,logistic,EQ,73,1,0.9,1.0,0.09999999999999998,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.09999999999999998,69,26,43,0.9472627418109483,1.0,0.8712710781407846,1.0,0.9179901967742088,1.0,,,0.0,0.0,0.6231884057971014
course_1,logistic,EQ,101,0,0.9,0.8926637124569178,0.007336287543082243,1.6971935007385524,0.30280649926144754,0.6971935007385525,0.0,0.8240384615384615,0.9646821392532795,0.30280649926144754,0.3544715447154472,0.6971935007385525,615,0.007336287543082243,0.0,2031,1040,991,0.8784527014397799,0.9053921495120937,0.7997151247404557,0.8459767993583132,0.9512784041965017,0.9744972476262246,0.3176757679903568,0.39307405743162704,0.035317860746720484,0.17596153846153847,0.4879369768586903
course_1,logistic,EQ,101,1,0.9,1.0,0.09999999999999998,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.09999999999999998,69,26,43,0.9472627418109483,1.0,0.8712710781407846,1.0,0.9179901967742088,1.0,,,0.0,0.0,0.6231884057971014
course_1,logistic,MCP,7,0,0.9,0.8902018709995076,0.009798129000492373,1.6917774495322502,0.3082225504677499,0.6917774495322502,0.0,0.7903846153846154,0.9949545913218971,0.3082225504677499,0.3562300319488818,0.6917774495322502,626,0.009798129000492373,0.0,2031,1040,991,0.8758613712029104,0.9030690919687006,0.7646005467602931,0.8140313852213931,0.9882437341083471,0.9978430350969673,0.31969735261276183,0.3945164428127897,0.005045408678102927,0.20961538461538462,0.4879369768586903
course_1,logistic,MCP,7,1,0.9,1.0,0.09999999999999998,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.09999999999999998,69,26,43,0.9472627418109483,1.0,0.8712710781407846,1.0,0.9179901967742088,1.0,,,0.0,0.0,0.6231884057971014
course_1,logistic,MCP,19,0,0.9,0.8655834564254062,0.03441654357459378,1.6386016740521911,0.36139832594780896,0.638601674052191,0.0,0.7490384615384615,0.987891019172553,0.36139832594780896,0.37193460490463215,0.638601674052191,734,0.03441654357459378,0.0,2031,1040,991,0.8500567048942794,0.8797298804747063,0.7218041479869223,0.7744397936794908,0.9789544026016515,0.9930597725477255,0.337720942297413,0.4074817733368047,0.012108980827447022,0.25096153846153846,0.4879369768586903
course_1,logistic,MCP,19,1,0.9,1.0,0.09999999999999998,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.09999999999999998,69,26,43,0.9472627418109483,1.0,0.8712710781407846,1.0,0.9179901967742088,1.0,,,0.0,0.0,0.6231884057971014
course_1,logistic,MCP,42,0,0.9,0.8655834564254062,0.03441654357459378,1.601181683899557,0.3988183161004431,0.6011816838995568,0.0,0.825,0.9081735620585267,0.3988183161004431,0.337037037037037,0.6011816838995568,810,0.03441654357459378,0.0,2031,1040,991,0.8500567048942794,0.8797298804747063,0.8007226401395693,0.8468852837339735,0.8885835327353568,0.9246113666398716,0.30532120660607387,0.3702912887532164,0.09182643794147326,0.175,0.4879369768586903
course_1,logistic,MCP,42,1,0.9,1.0,0.09999999999999998,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.09999999999999998,69,26,43,0.9472627418109483,1.0,0.8712710781407846,1.0,0.9179901967742088,1.0,,,0.0,0.0,0.6231884057971014
course_1,logistic,MCP,73,0,0.9,0.9566715903495815,0.05667159034958147,1.8508124076809453,0.14918759231905465,0.8508124076809453,0.0,0.9336538461538462,0.9808274470232089,0.14918759231905465,0.29042904290429045,0.8508124076809453,303,0.0,0.05667159034958147,2031,1040,991,0.9469214803719941,0.9646974528667052,0.9168754158477969,0.9472404825751849,0.9702495375358658,0.9876920435575739,0.24219141849469236,0.3439140560128652,0.01917255297679112,0.06634615384615385,0.4879369768586903
course_1,logistic,MCP,73,1,0.9,1.0,0.09999999999999998,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.09999999999999998,69,26,43,0.9472627418109483,1.0,0.8712710781407846,1.0,0.9179901967742088,1.0,,,0.0,0.0,0.6231884057971014
course_1,logistic,MCP,101,0,0.9,0.9650418513047759,0.06504185130477591,1.878877400295421,0.12112259970457903,0.8788774002954209,0.0,0.9653846153846154,0.9646821392532795,0.12112259970457903,0.2886178861788618,0.8788774002954209,246,0.0,0.06504185130477591,2031,1040,991,0.9561352815312244,0.9721925701603674,0.9524508804915551,0.9748930104989618,0.9512784041965017,0.9744972476262246,0.23558798037730555,0.34814803969357244,0.035317860746720484,0.03461538461538462,0.4879369768586903
course_1,logistic,MCP,101,1,0.9,1.0,0.09999999999999998,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.09999999999999998,69,26,43,0.9472627418109483,1.0,0.8712710781407846,1.0,0.9179901967742088,1.0,,,0.0,0.0,0.6231884057971014
course_2,catboost,EIQ-batch,7,0,0.9,0.9763257575757576,0.07632575757575755,1.9417613636363635,0.05823863636363636,0.9417613636363636,0.0,0.978688524590164,0.9730941704035875,0.05823863636363636,0.4065040650406504,0.9417613636363636,123,0.0,0.07632575757575755,2112,1220,892,0.96892546984971,0.981996439545821,0.9689564350607097,0.9854155479945926,0.9602772517408957,0.981853737721303,0.3238098760638868,0.494861398976293,0.026905829596412557,0.021311475409836064,0.42234848484848486
course_2,catboost,EIQ-batch,7,1,0.9,1.0,0.09999999999999998,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.09999999999999998,68,31,37,0.9465286634799296,1.0000000000000002,0.889744604539564,1.0,0.9059421741627975,1.0,,,0.0,0.0,0.5441176470588235
course_2,catboost,EIQ-batch,19,0,0.9,0.9303977272727273,0.03039772727272727,1.8224431818181819,0.17755681818181818,0.8224431818181818,0.0,0.9319672131147541,0.9282511210762332,0.17755681818181818,0.392,0.8224431818181818,375,0.0,0.03039772727272727,2112,1220,892,0.9187451121433924,0.9404875077776192,0.9164389887307621,0.9447836740605807,0.9094157947241808,0.9434136791491838,0.34392266637264524,0.442267577292483,0.07174887892376682,0.0680327868852459,0.42234848484848486
course_2,catboost,EIQ-batch,19,1,0.9,1.0,0.09999999999999998,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.09999999999999998,68,31,37,0.9465286634799296,1.0000000000000002,0.889744604539564,1.0,0.9059421741627975,1.0,,,0.0,0.0,0.5441176470588235
course_2,catboost,EIQ-batch,42,0,0.9,0.9431818181818182,0.04318181818181821,1.8835227272727273,0.11647727272727272,0.8835227272727273,0.0,0.9081967213114754,0.9910313901345291,0.11647727272727272,0.4878048780487805,0.8835227272727273,246,0.0,0.04318181818181821,2112,1220,892,0.9324805440138026,0.9522738368949619,0.8906875461515082,0.9231433572072942,0.9824029987631188,0.9954485969346135,0.42601138027636354,0.549973390112341,0.008968609865470852,0.09180327868852459,0.42234848484848486
course_2,catboost,EIQ-batch,42,1,0.9,1.0,0.09999999999999998,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.09999999999999998,68,31,37,0.9465286634799296,1.0000000000000002,0.889744604539564,1.0,0.9059421741627975,1.0,,,0.0,0.0,0.5441176470588235
course_2,catboost,EIQ-batch,73,0,0.9,0.9573863636363636,0.057386363636363624,1.893939393939394,0.10606060606060606,0.8939393939393939,0.0,0.9262295081967213,1.0,0.10606060606060606,0.4017857142857143,0.8939393939393939,224,0.0,0.057386363636363624,2112,1220,892,0.9479095190155613,0.9652023741018174,0.9101857617503806,0.9395975108331078,0.995711898815499,1.0,0.3397614568068332,0.4671218021586611,0.0,0.07377049180327869,0.42234848484848486
course_2,catboost,EIQ-batch,73,1,0.9,1.0,0.09999999999999998,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.09999999999999998,68,31,37,0.9465286634799296,1.0000000000000002,0.889744604539564,1.0,0.9059421741627975,1.0,,,0.0,0.0,0.5441176470588235
course_2,catboost,EIQ-batch,101,0,0.9,0.9663825757575758,0.06638257575757578,1.8849431818181819,0.11505681818181818,0.8849431818181818,0.0,0.9754098360655737,0.9540358744394619,0.11505681818181818,0.29218106995884774,0.8849431818181818,243,0.0,0.06638257575757578,2112,1220,892,0.9578092512114157,0.9732623996380853,0.9651134070699581,0.9827217815808558,0.9382386530865833,0.965939192250361,0.238591382414226,0.35223910253536056,0.04596412556053812,0.02459016393442623,0.42234848484848486
