roc_auc,pr_auc,macro_f1,balanced_accuracy,brier,nll,ece,calibration_slope,calibration_intercept,setting,seed,model,class_weight,calibration,scope,method,nominal_coverage,observed_coverage,coverage_gap,average_set_size,singleton_rate,ambiguity_rate,empty_set_rate,pass_coverage,fail_coverage,automatic_coverage,automatic_error_rate,deferral_rate,n_automatic,undercoverage,overcoverage,n_test,n_pass,n_fail,coverage_ci_lower,coverage_ci_upper,pass_ci_lower,pass_ci_upper,fail_ci_lower,fail_ci_upper,automatic_error_ci_lower,automatic_error_ci_upper,automatic_false_negative_fraction,automatic_false_positive_fraction
,,,,,,,,,course_1,42,logistic,unweighted,isotonic,full,EQ,0.9,0.8966666666666666,0.0033333333333334103,1.6904761904761905,0.30952380952380953,0.6904761904761905,0.0,0.8714821763602252,0.9226305609284333,0.30952380952380953,0.33384615384615385,0.6904761904761905,650.0,0.0033333333333334103,0.0,2100.0,1066.0,1034.0,0.8829152273842263,0.9089695379886712,0.8500500689395981,0.8902465361976118,0.9047363545978698,0.9373961238956486,0.2986621589636199,0.3709825277015696,0.07736943907156674,0.12851782363977485
,,,,,,,,,course_1,42,logistic,unweighted,isotonic,full,EIQ-batch,0.9,0.9195238095238095,0.0195238095238095,1.7385714285714287,0.26142857142857145,0.7385714285714285,0.0,0.9165103189493433,0.9226305609284333,0.26142857142857145,0.30783242258652094,0.7385714285714285,549.0,0.0,0.0195238095238095,2100.0,1066.0,1034.0,0.9071085456630836,0.9304070345212174,0.8983716712877369,0.9316578556842864,0.9047363545978698,0.9373961238956486,0.27066671858532726,0.3476687071801368,0.07736943907156674,0.08348968105065666
0.6342195055195694,0.5687452755362776,0.6057365267174531,0.606486634431165,0.24312291573066344,0.7185401116180496,0.061073919104860964,0.43984379575473403,-0.17013921402700913,course_1,42,logistic,unweighted,isotonic,heldout,probability,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,course_1,42,logistic,unweighted,isotonic,heldout,MCP,0.9,0.9047619047619048,0.004761904761904745,1.7180952380952381,0.2819047619047619,0.7180952380952381,0.0,0.8725663716814159,0.9422680412371134,0.2819047619047619,0.33783783783783783,0.7180952380952381,296.0,0.0,0.004761904761904745,1050.0,565.0,485.0,0.8855023335342952,0.9210706029216268,0.8425323992664087,0.8975683677782529,0.9178268370165242,0.9597583028260358,0.2863400080722671,0.39349079191924374,0.0577319587628866,0.12743362831858407
,,,,,,,,,course_1,42,logistic,unweighted,isotonic,heldout,EQ,0.9,0.9047619047619048,0.004761904761904745,1.7180952380952381,0.2819047619047619,0.7180952380952381,0.0,0.8725663716814159,0.9422680412371134,0.2819047619047619,0.33783783783783783,0.7180952380952381,296.0,0.0,0.004761904761904745,1050.0,565.0,485.0,0.8855023335342952,0.9210706029216268,0.8425323992664087,0.8975683677782529,0.9178268370165242,0.9597583028260358,0.2863400080722671,0.39349079191924374,0.0577319587628866,0.12743362831858407
,,,,,,,,,course_1,42,logistic,unweighted,isotonic,heldout,EIQ-batch,0.9,0.9276190476190476,0.027619047619047543,1.760952380952381,0.23904761904761904,0.7609523809523809,0.0,0.9150442477876106,0.9422680412371134,0.23904761904761904,0.30278884462151395,0.7609523809523809,251.0,0.0,0.027619047619047543,1050.0,565.0,485.0,0.9103384827618823,0.941782101870374,0.8891582383443543,0.9353245638977984,0.9178268370165242,0.9597583028260358,0.24927213945877996,0.36225103868447434,0.0577319587628866,0.08495575221238938
,,,,,,,,,course_1,42,logistic,unweighted,isotonic,heldout,EIQ-independent,0.9,0.9276190476190476,0.027619047619047543,1.760952380952381,0.23904761904761904,0.7609523809523809,0.0,0.9150442477876106,0.9422680412371134,0.23904761904761904,0.30278884462151395,0.7609523809523809,251.0,0.0,0.027619047619047543,1050.0,565.0,485.0,0.9103384827618823,0.941782101870374,0.8891582383443543,0.9353245638977984,0.9178268370165242,0.9597583028260358,0.24927213945877996,0.36225103868447434,0.0577319587628866,0.08495575221238938
0.6414351087418031,0.6239375577299129,0.5934346404920313,0.601528336738508,0.24401807600257192,0.7052720891333961,0.0861861848994064,0.503638751159237,-0.14773816492056813,course_1,42,logistic,balanced,none,full,probability,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,course_1,42,logistic,balanced,none,full,MCP,0.9,0.8580952380952381,0.04190476190476189,1.5761904761904761,0.4238095238095238,0.5761904761904761,0.0,0.8292682926829268,0.8878143133462283,0.4238095238095238,0.3348314606741573,0.5761904761904761,890.0,0.04190476190476189,0.0,2100.0,1066.0,1034.0,0.8425160177098835,0.8723667476687708,0.8055077990508723,0.8506641918661999,0.8671247839087408,0.9056329366310782,0.3045948358374964,0.36648777383704906,0.11218568665377177,0.17073170731707318
,,,,,,,,,course_1,42,logistic,balanced,none,full,EQ,0.9,0.8471428571428572,0.052857142857142825,1.5504761904761906,0.44952380952380955,0.5504761904761905,0.0,0.8170731707317073,0.8781431334622823,0.44952380952380955,0.3400423728813559,0.5504761904761905,944.0,0.052857142857142825,0.0,2100.0,1066.0,1034.0,0.8311192538272887,0.8618987461209016,0.7927403561851823,0.839128968401628,0.8567926170692767,0.8966943373722923,0.31052553390683163,0.3708557802469628,0.1218568665377176,0.18292682926829268
