setting,model,method,metric,balanced,unweighted,delta,minimum,maximum
temporal_1,catboost,MCP,automatic_coverage,0.12222222222222215,0.12467532467532468,-0.0024531024531024986,-0.11111111111111122,0.11616161616161619
temporal_1,catboost,MCP,automatic_error_rate,0.34478236145574853,0.3378121546543994,0.0069702068013490935,-0.097326557666814,0.10609318996415773
temporal_1,logistic,EIQ-batch,observed_coverage,0.9082251082251082,0.9083694083694083,-0.0001443001443001135,-0.0007215007215005675,0.0
temporal_1,logistic,EIQ-batch,pass_coverage,0.930209617755857,0.9304562268803945,-0.0002466091245376001,-0.0012330456226880004,0.0
temporal_1,logistic,EIQ-batch,fail_coverage,0.877217391304348,0.877217391304348,0.0,0.0,0.0
temporal_1,logistic,EIQ-batch,automatic_coverage,0.3024531024531024,0.30216450216450214,0.00028860028860028806,-0.0007215007215007341,0.0014430014430013849
temporal_1,logistic,EIQ-batch,automatic_error_rate,0.31464399039364305,0.31511019336197404,-0.0004662029683309421,-0.004636886102403315,0.001827404962718493
temporal_1,logistic,EQ,observed_coverage,0.9023088023088024,0.9023088023088024,4.4408920985006264e-17,-0.0007215007215005675,0.0007215007215007896
temporal_1,logistic,EQ,pass_coverage,0.9716399506781752,0.9716399506781752,4.4408920985006264e-17,-0.0012330456226880004,0.0012330456226882225
temporal_1,logistic,EQ,fail_coverage,0.8045217391304348,0.8045217391304348,0.0,0.0,0.0
temporal_1,logistic,EQ,automatic_coverage,0.354978354978355,0.3552669552669553,-0.00028860028860028253,-0.0014430014430014682,0.0007215007215007896
temporal_1,logistic,EQ,automatic_error_rate,0.27234213140677016,0.2721338924580653,0.00020823894870483083,-0.0011734760401135857,0.001827404962718493
temporal_1,logistic,MCP,observed_coverage,0.9092352092352092,0.9095238095238095,-0.0002886002886002714,-0.0007215007215007896,0.0007215007215007896
temporal_1,logistic,MCP,pass_coverage,0.9775585696670778,0.9778051787916153,-0.0002466091245375557,-0.0012330456226880004,0.0012330456226882225
temporal_1,logistic,MCP,fail_coverage,0.8128695652173914,0.8132173913043479,-0.0003478260869565153,-0.0017391304347825765,0.0
temporal_1,logistic,MCP,automatic_coverage,0.3349206349206349,0.3347763347763347,0.00014430014430015238,-0.001443001443001496,0.0014430014430014126
temporal_1,logistic,MCP,automatic_error_rate,0.2678561834484167,0.2672114563516078,0.0006447270968089391,-0.0015149477836045033,0.001827404962718493
temporal_2,catboost,EIQ-batch,observed_coverage,0.8503216583273767,0.8601858470335955,-0.009864188706218769,-0.06719085060757679,0.06719085060757679
temporal_2,catboost,EIQ-batch,pass_coverage,0.9753280839895012,0.9826771653543307,-0.007349081364829391,-0.03280839895013121,0.00656167979002642
temporal_2,catboost,EIQ-batch,fail_coverage,0.7007849293563579,0.713657770800628,-0.012872841444270044,-0.1491365777080063,0.13971742543171106
temporal_2,catboost,EIQ-batch,automatic_coverage,0.47047891350964977,0.4434596140100071,0.027019299499642612,-0.16225875625446745,0.1579699785561115
temporal_2,catboost,EIQ-batch,automatic_error_rate,0.2924529624722257,0.2900947781459463,0.002358184326279378,-0.04481477202711037,0.021487115221180297
temporal_2,catboost,EQ,observed_coverage,0.8430307362401714,0.8287348105789849,0.01429592566118656,-0.026447462473195182,0.10721944245889925
temporal_2,catboost,EQ,pass_coverage,0.9826771653543307,0.9879265091863518,-0.005249343832020981,-0.019685039370078594,0.013123359580052396
temporal_2,catboost,EQ,fail_coverage,0.6759811616954474,0.6383045525902669,0.03767660910518052,-0.050235478806907374,0.25745682888540034
temporal_2,catboost,EQ,automatic_coverage,0.5003573981415297,0.5308077197998571,-0.03045032165832734,-0.23087919942816298,0.08934953538241613
temporal_2,catboost,EQ,automatic_error_rate,0.3056762859402872,0.32162360637328824,-0.01594732043300106,-0.1028690140417918,0.019277900157463446
temporal_2,catboost,MCP,observed_coverage,0.8430307362401714,0.8287348105789849,0.01429592566118656,-0.026447462473195182,0.10721944245889925
temporal_2,catboost,MCP,pass_coverage,0.9826771653543307,0.9879265091863518,-0.005249343832020981,-0.019685039370078594,0.013123359580052396
temporal_2,catboost,MCP,fail_coverage,0.6759811616954474,0.6383045525902669,0.03767660910518052,-0.050235478806907374,0.25745682888540034
temporal_2,catboost,MCP,automatic_coverage,0.5003573981415297,0.5308077197998571,-0.03045032165832734,-0.23087919942816298,0.08934953538241613
temporal_2,catboost,MCP,automatic_error_rate,0.3056762859402872,0.32162360637328824,-0.01594732043300106,-0.1028690140417918,0.019277900157463446
temporal_2,logistic,EIQ-batch,observed_coverage,0.8178699070764832,0.8237312365975697,-0.005861329521086511,-0.018584703359542543,-0.0007147962830593713
temporal_2,logistic,EIQ-batch,pass_coverage,0.9656167979002624,0.9690288713910761,-0.0034120734908136053,-0.013123359580052396,0.0
temporal_2,logistic,EIQ-batch,fail_coverage,0.6411302982731554,0.6499215070643642,-0.008791208791208783,-0.025117739403453743,-0.0015698587127158659
temporal_2,logistic,EIQ-batch,automatic_coverage,0.5761258041458184,0.5622587562544675,0.013867047891350948,0.0021443888491778917,0.05289492494639031
temporal_2,logistic,EIQ-batch,automatic_error_rate,0.3144317044027793,0.3107948819222128,0.0036368224805665263,-0.000883233916182391,0.009099594249811715
temporal_2,logistic,EQ,observed_coverage,0.8440314510364546,0.8470335954253038,-0.0030021443888491816,-0.010007147962830532,0.0021443888491780028
