setting,model,method,observed_coverage_mean,observed_coverage_min,observed_coverage_max,observed_coverage_std,pass_coverage_mean,pass_coverage_min,pass_coverage_max,pass_coverage_std,fail_coverage_mean,fail_coverage_min,fail_coverage_max,fail_coverage_std,automatic_coverage_mean,automatic_coverage_min,automatic_coverage_max,automatic_coverage_std,automatic_error_rate_mean,automatic_error_rate_min,automatic_error_rate_max,automatic_error_rate_std
iid,logistic,EIQ-batch,0.9609813084112149,0.9228971962616822,0.9824766355140186,0.024899900045435717,0.9547413793103449,0.8987068965517241,0.9913793103448276,0.035576668144868956,0.9683673469387756,0.951530612244898,0.9948979591836736,0.016883053171198342,0.15724299065420555,0.0771028037383177,0.2745327102803738,0.08848711078211033,0.24221981580454094,0.2227979274611398,0.2808510638297872,0.022928870283380077
iid,logistic,EQ,0.9537383177570093,0.9228971962616822,0.980140186915888,0.022205482590353418,0.9413793103448276,0.8987068965517241,0.9913793103448276,0.03978030295224829,0.9683673469387756,0.951530612244898,0.9948979591836736,0.016883053171198342,0.17990654205607473,0.0829439252336448,0.2745327102803738,0.0765342960474729,0.2532069881414065,0.2227979274611398,0.2822085889570552,0.02680964897547953
iid,logistic,MCP,0.9537383177570093,0.9228971962616822,0.980140186915888,0.022205482590353418,0.9413793103448276,0.8987068965517241,0.9913793103448276,0.03978030295224829,0.9683673469387756,0.951530612244898,0.9948979591836736,0.016883053171198342,0.17943925233644856,0.0829439252336448,0.2745327102803738,0.07646115051302999,0.25390812749285263,0.2227979274611398,0.2857142857142857,0.027785799774455288
temporal_1,catboost,EIQ-batch,0.9187590187590187,0.8867243867243867,0.9502164502164502,0.025105737051427827,0.9183723797780518,0.8088779284833539,0.9704069050554872,0.06299644446487582,0.9193043478260868,0.8069565217391305,0.9965217391304348,0.07260322812010053,0.22106782106782105,0.158008658008658,0.2936507936507936,0.05437550350054521,0.36845321347559246,0.3150684931506849,0.5181518151815182,0.08571892895034991
temporal_1,catboost,EQ,0.9468975468975469,0.9191919191919192,0.98989898989899,0.026561615697527744,0.9607891491985203,0.938347718865598,0.9852034525277436,0.019581758353741426,0.9273043478260868,0.8469565217391304,0.9965217391304348,0.0578296827911085,0.1655122655122655,0.0281385281385281,0.2582972582972583,0.08526935942145364,0.32838198705663413,0.2939068100358423,0.3611111111111111,0.030058877163898372
temporal_1,catboost,MCP,0.9591630591630592,0.9343434343434344,0.98989898989899,0.024661185961396475,0.9607891491985203,0.938347718865598,0.9852034525277436,0.019581758353741426,0.9568695652173913,0.9043478260869564,0.9965217391304348,0.042142973859787054,0.12467532467532468,0.0281385281385281,0.2012987012987013,0.0783358422974582,0.33781215465439945,0.2939068100358423,0.3611111111111111,0.0313366166385331
temporal_1,logistic,EIQ-batch,0.9082251082251082,0.8513708513708513,0.9487734487734488,0.04376661675702812,0.930209617755857,0.8717632552404438,0.9617755856966708,0.038389128426494494,0.8772173913043477,0.7478260869565218,1.0,0.09950045359017358,0.3024531024531024,0.1269841269841269,0.4725829725829726,0.15183039424054456,0.31464399039364305,0.2617283950617284,0.4034090909090909,0.05338025734086753
temporal_1,logistic,EQ,0.9023088023088024,0.873015873015873,0.9235209235209236,0.025931904277870715,0.9716399506781752,0.9432799013563502,0.996300863131936,0.02321599307492327,0.8045217391304348,0.7478260869565218,0.8695652173913043,0.045874819398232125,0.35497835497835495,0.2922077922077922,0.4372294372294372,0.0696911436712453,0.27234213140677016,0.2529832935560859,0.2947189097103918,0.018876811724612714
temporal_1,logistic,MCP,0.9092352092352092,0.873015873015873,0.9408369408369408,0.02666821269482503,0.9775585696670778,0.9617755856966708,0.996300863131936,0.017161053931153483,0.8128695652173914,0.7478260869565218,0.8695652173913043,0.05320147531248858,0.3349206349206349,0.2402597402597402,0.4372294372294372,0.07749569356250732,0.2678561834484167,0.2462462462462462,0.2904290429042904,0.017138442559966934
temporal_2,catboost,EIQ-batch,0.8601858470335955,0.7848463187991422,0.9949964260185848,0.08037819842474436,0.9826771653543307,0.968503937007874,0.9908136482939632,0.009063672782064073,0.713657770800628,0.543171114599686,1.0,0.17314267734318395,0.4434596140100071,0.0264474624731951,0.6468906361686919,0.24157608220868562,0.2900947781459463,0.1891891891891892,0.3328767123287671,0.05940719213903307
