setting,seed,model,class_weight,calibration,bins,ece
course_2,42,catboost,balanced,none,15,0.09873707023401247
course_2,42,catboost,balanced,platt,5,0.06477634011499597
course_2,42,catboost,balanced,platt,10,0.06766830675722847
course_2,42,catboost,balanced,platt,15,0.07283451461197375
course_2,42,catboost,unweighted,isotonic,5,0.09844134510394965
course_2,42,catboost,unweighted,isotonic,10,0.09875531293493464
course_2,42,catboost,unweighted,isotonic,15,0.09927015246726273
course_2,42,catboost,unweighted,none,5,0.09729786774356933
course_2,42,catboost,unweighted,none,10,0.09757551005911032
course_2,42,catboost,unweighted,none,15,0.09963986187508615
course_2,42,catboost,unweighted,platt,5,0.06541844235839185
course_2,42,catboost,unweighted,platt,10,0.06924672292080226
course_2,42,catboost,unweighted,platt,15,0.07543198809698115
course_2,42,logistic,balanced,isotonic,5,0.0661995574870045
course_2,42,logistic,balanced,isotonic,10,0.06683975622958875
course_2,42,logistic,balanced,isotonic,15,0.0673435908372462
course_2,42,logistic,balanced,none,5,0.015696867855826035
course_2,42,logistic,balanced,none,10,0.022145841461956882
course_2,42,logistic,balanced,none,15,0.022719435247435665
course_2,42,logistic,balanced,platt,5,0.03707757604553347
course_2,42,logistic,balanced,platt,10,0.037077576045533474
course_2,42,logistic,balanced,platt,15,0.03964316829344455
course_2,42,logistic,unweighted,isotonic,5,0.06584780588009073
course_2,42,logistic,unweighted,isotonic,10,0.06610644248586976
course_2,42,logistic,unweighted,isotonic,15,0.06641214488013951
course_2,42,logistic,unweighted,none,5,0.020306414518002348
course_2,42,logistic,unweighted,none,10,0.02304703308123891
course_2,42,logistic,unweighted,none,15,0.028094728260645775
course_2,42,logistic,unweighted,platt,5,0.037219304870892075
course_2,42,logistic,unweighted,platt,10,0.037219304870892055
course_2,42,logistic,unweighted,platt,15,0.038463065229071364
course_2,73,catboost,balanced,isotonic,5,0.07724217497434356
course_2,73,catboost,balanced,isotonic,10,0.08073324455896018
course_2,73,catboost,balanced,isotonic,15,0.07991108387298086
course_2,73,catboost,balanced,none,5,0.07899026366877637
course_2,73,catboost,balanced,none,10,0.07899026366877634
course_2,73,catboost,balanced,none,15,0.08682639356986349
course_2,73,catboost,balanced,platt,5,0.05883418687936752
course_2,73,catboost,balanced,platt,10,0.05890181421666901
course_2,73,catboost,balanced,platt,15,0.06879471270957359
course_2,73,catboost,unweighted,isotonic,5,0.040542140671000454
course_2,73,catboost,unweighted,isotonic,10,0.052910403348504685
course_2,73,catboost,unweighted,isotonic,15,0.05316058315127278
course_2,73,catboost,unweighted,none,5,0.06098399119873159
course_2,73,catboost,unweighted,none,10,0.06956344361218217
course_2,73,catboost,unweighted,none,15,0.07165007229446563
course_2,73,catboost,unweighted,platt,5,0.031128660620567954
course_2,73,catboost,unweighted,platt,10,0.0391587223442414
course_2,73,catboost,unweighted,platt,15,0.03835081081185124
course_2,73,logistic,balanced,isotonic,5,0.10720453988305079
course_2,73,logistic,balanced,isotonic,10,0.1087495980610501
course_2,73,logistic,balanced,isotonic,15,0.10929653830464242
course_2,73,logistic,balanced,none,5,0.03907213768784826
course_2,73,logistic,balanced,none,10,0.039332242187861834
course_2,73,logistic,balanced,none,15,0.046248334938660714
course_2,73,logistic,balanced,platt,5,0.034573944337972534
course_2,73,logistic,balanced,platt,10,0.03483239277512467
course_2,73,logistic,balanced,platt,15,0.03793956640188108
course_2,73,logistic,unweighted,isotonic,5,0.10719783649242771
course_2,73,logistic,unweighted,isotonic,10,0.10912773925573335
course_2,73,logistic,unweighted,isotonic,15,0.10971649499832595
course_2,73,logistic,unweighted,none,5,0.04422827527284435
course_2,73,logistic,unweighted,none,10,0.0443140726837885
course_2,73,logistic,unweighted,none,15,0.05027918697877126
course_2,73,logistic,unweighted,platt,5,0.03399929104416297
course_2,73,logistic,unweighted,platt,10,0.03425565183301213
course_2,73,logistic,unweighted,platt,15,0.03817487431865493
