setting,model,method,zero_activity,n_test,n_fail,failure_rate,observed_coverage,pass_coverage,fail_coverage,automatic_coverage,automatic_error_rate,average_set_size,empty_set_rate,ambiguity_rate,n_automatic
course_2,catboost,EQ,1,68.0,37.0,0.5441176470588235,1.0,1.0,1.0,0.0,,2.0,0.0,1.0,0.0
course_2,catboost,MCP,0,2112.0,892.0,0.42234848484848486,0.9500946969696968,0.9542622950819671,0.9443946188340806,0.1337121212121212,0.3832018970380817,1.866287878787879,0.0,0.8662878787878787,282.4
course_2,catboost,MCP,1,68.0,37.0,0.5441176470588235,1.0,1.0,1.0,0.0,,2.0,0.0,1.0,0.0
course_2,logistic,EIQ-batch,0,2112.0,892.0,0.42234848484848486,0.9470643939393939,0.9655737704918032,0.9217488789237669,0.18892045454545453,0.29498922936245586,1.8110795454545454,0.0,0.8110795454545455,399.0
course_2,logistic,EIQ-batch,1,68.0,37.0,0.5441176470588235,0.8176470588235294,0.6,1.0,0.4,0.3061896400351185,1.6,0.0,0.6,27.2
course_2,logistic,EQ,0,2112.0,892.0,0.42234848484848486,0.9222537878787879,0.9722950819672131,0.8538116591928251,0.290625,0.2670485261010622,1.709375,0.0,0.709375,613.8
course_2,logistic,EQ,1,68.0,37.0,0.5441176470588235,1.0,1.0,1.0,0.0058823529411764705,0.0,1.9941176470588236,0.0,0.9941176470588236,0.4
course_2,logistic,MCP,0,2112.0,892.0,0.42234848484848486,0.931060606060606,0.9722950819672131,0.8746636771300448,0.2524621212121212,0.2877979434201323,1.7475378787878788,0.0,0.7475378787878788,533.2
course_2,logistic,MCP,1,68.0,37.0,0.5441176470588235,1.0,1.0,1.0,0.0058823529411764705,0.0,1.9941176470588236,0.0,0.9941176470588236,0.4
iid,catboost,EIQ-batch,0,831.0,381.0,0.4584837545126354,0.9605294825511432,0.9613333333333334,0.9595800524934383,0.17809867629362214,0.2185834736688667,1.8219013237063777,0.0,0.8219013237063779,148.0
iid,catboost,EIQ-batch,1,25.0,11.0,0.44000000000000006,1.0,1.0,1.0,0.0,,2.0,0.0,1.0,0.0
iid,catboost,EQ,0,831.0,381.0,0.4584837545126354,0.9605294825511432,0.9613333333333334,0.9595800524934383,0.17809867629362214,0.2185834736688667,1.8219013237063777,0.0,0.8219013237063779,148.0
iid,catboost,EQ,1,25.0,11.0,0.44000000000000006,1.0,1.0,1.0,0.0,,2.0,0.0,1.0,0.0
iid,catboost,MCP,0,831.0,381.0,0.4584837545126354,0.9605294825511432,0.9613333333333334,0.9595800524934383,0.17809867629362214,0.2185834736688667,1.8219013237063777,0.0,0.8219013237063779,148.0
iid,catboost,MCP,1,25.0,11.0,0.44000000000000006,1.0,1.0,1.0,0.0,,2.0,0.0,1.0,0.0
iid,logistic,EIQ-batch,0,831.0,381.0,0.4584837545126354,0.9631768953068592,0.9595555555555556,0.9674540682414697,0.155956678700361,0.2355734125623931,1.844043321299639,0.0,0.8440433212996389,129.6
iid,logistic,EIQ-batch,1,25.0,11.0,0.44000000000000006,0.8879999999999999,0.8,1.0,0.2,0.56,1.8,0.0,0.8,5.0
iid,logistic,EQ,0,831.0,381.0,0.4584837545126354,0.9590854392298436,0.952,0.9674540682414697,0.17328519855595667,0.23649567870205052,1.8267148014440433,0.0,0.8267148014440433,144.0
iid,logistic,EQ,1,25.0,11.0,0.44000000000000006,0.776,0.6,1.0,0.4,0.56,1.6,0.0,0.6,10.0
iid,logistic,MCP,0,831.0,381.0,0.4584837545126354,0.9590854392298436,0.952,0.9674540682414697,0.17280385078219013,0.2371776906372594,1.82719614921781,0.0,0.8271961492178098,143.6
iid,logistic,MCP,1,25.0,11.0,0.44000000000000006,0.776,0.6,1.0,0.4,0.56,1.6,0.0,0.6,10.0
temporal_1,catboost,EIQ-batch,0,1338.0,546.0,0.4080717488789237,0.9158445440956651,0.9164141414141413,0.915018315018315,0.2289985052316891,0.3684532134755924,1.771001494768311,0.0,0.7710014947683109,306.4
temporal_1,catboost,EIQ-batch,1,48.0,29.0,0.6041666666666666,1.0,1.0,1.0,0.0,,2.0,0.0,1.0,0.0
