setting,model,method,metric,estimate,lower,upper,persons,enrolments
course_DDD,logistic,weighted_cap10,automatic_error,0.22483221476510068,0.20137089061828264,0.2475164385612372,4997,5279
temporal_B,catboost,empirical_mondrian,coverage,0.9007485444968117,0.8910095563196594,0.9101809705230524,3606,3607
temporal_B,catboost,empirical_mondrian,fail_coverage,0.9284897025171625,0.9160905298079823,0.9402641552843166,3606,3607
temporal_B,catboost,empirical_mondrian,automatic_coverage,0.3498752425838647,0.3346247952982529,0.36577925679423184,3606,3607
temporal_B,catboost,empirical_mondrian,automatic_error,0.2836767036450079,0.2579137223476846,0.3086326592115725,3606,3607
temporal_B,catboost,mondrian_cp,coverage,0.9007485444968117,0.8910095563196594,0.9101809705230524,3606,3607
temporal_B,catboost,mondrian_cp,fail_coverage,0.9284897025171625,0.9160905298079823,0.9402641552843166,3606,3607
temporal_B,catboost,mondrian_cp,automatic_coverage,0.3498752425838647,0.3346247952982529,0.36577925679423184,3606,3607
temporal_B,catboost,mondrian_cp,automatic_error,0.2836767036450079,0.2579137223476846,0.3086326592115725,3606,3607
temporal_B,catboost,weighted_cap10,coverage,0.9007485444968117,0.8910095563196594,0.9101809705230524,3606,3607
temporal_B,catboost,weighted_cap10,fail_coverage,0.9284897025171625,0.9160905298079823,0.9402641552843166,3606,3607
temporal_B,catboost,weighted_cap10,automatic_coverage,0.3498752425838647,0.3346247952982529,0.36577925679423184,3606,3607
temporal_B,catboost,weighted_cap10,automatic_error,0.2836767036450079,0.2579137223476846,0.3086326592115725,3606,3607
temporal_B,logistic,empirical_mondrian,coverage,0.8757970612697532,0.8646699944536883,0.8871349023909075,3606,3607
temporal_B,logistic,empirical_mondrian,fail_coverage,0.9170480549199085,0.9039134267750072,0.9296093507251156,3606,3607
temporal_B,logistic,empirical_mondrian,automatic_coverage,0.4247296922650402,0.4092014895279381,0.44124474337593134,3606,3607
temporal_B,logistic,empirical_mondrian,automatic_error,0.2924281984334204,0.2688850398772037,0.3163437766410912,3606,3607
temporal_B,logistic,mondrian_cp,coverage,0.8757970612697532,0.8646699944536883,0.8871349023909075,3606,3607
temporal_B,logistic,mondrian_cp,fail_coverage,0.9170480549199085,0.9039134267750072,0.9296093507251156,3606,3607
temporal_B,logistic,mondrian_cp,automatic_coverage,0.4247296922650402,0.4092014895279381,0.44124474337593134,3606,3607
temporal_B,logistic,mondrian_cp,automatic_error,0.2924281984334204,0.2688850398772037,0.3163437766410912,3606,3607
temporal_B,logistic,weighted_cap10,coverage,0.8965899639589686,0.8860548932630995,0.9068477959523149,3606,3607
temporal_B,logistic,weighted_cap10,fail_coverage,0.9170480549199085,0.9039134267750072,0.9296093507251156,3606,3607
temporal_B,logistic,weighted_cap10,automatic_coverage,0.37454948710840036,0.3598558358746881,0.39063084710366214,3606,3607
temporal_B,logistic,weighted_cap10,automatic_error,0.27609178386380456,0.2511336189277225,0.3012723606667933,3606,3607
temporal_J,catboost,empirical_mondrian,coverage,0.9619074099819269,0.9573314801945796,0.9663608562691132,7190,7193
temporal_J,catboost,empirical_mondrian,fail_coverage,0.950218023255814,0.9419437935901125,0.9583629957106325,7190,7193
temporal_J,catboost,empirical_mondrian,automatic_coverage,0.18559710829973586,0.1765353888258747,0.19518985136401365,7190,7193
temporal_J,catboost,empirical_mondrian,automatic_error,0.20524344569288389,0.1831085960168821,0.22672377562398144,7190,7193
temporal_J,catboost,mondrian_cp,coverage,0.9619074099819269,0.9573314801945796,0.9663608562691132,7190,7193
temporal_J,catboost,mondrian_cp,fail_coverage,0.950218023255814,0.9419437935901125,0.9583629957106325,7190,7193
temporal_J,catboost,mondrian_cp,automatic_coverage,0.18559710829973586,0.1765353888258747,0.19518985136401365,7190,7193
temporal_J,catboost,mondrian_cp,automatic_error,0.20524344569288389,0.1831085960168821,0.22672377562398144,7190,7193
temporal_J,catboost,weighted_cap10,coverage,0.9619074099819269,0.9573314801945796,0.9663608562691132,7190,7193
temporal_J,catboost,weighted_cap10,fail_coverage,0.950218023255814,0.9419437935901125,0.9583629957106325,7190,7193
temporal_J,catboost,weighted_cap10,automatic_coverage,0.18559710829973586,0.1765353888258747,0.19518985136401365,7190,7193
temporal_J,catboost,weighted_cap10,automatic_error,0.20524344569288389,0.1831085960168821,0.22672377562398144,7190,7193
temporal_J,logistic,empirical_mondrian,coverage,0.9535659669122758,0.9486830958781869,0.9584435078209229,7190,7193
temporal_J,logistic,empirical_mondrian,fail_coverage,0.9647529069767442,0.9577454692311576,0.9712230854747818,7190,7193
temporal_J,logistic,empirical_mondrian,automatic_coverage,0.19115807034616988,0.18195560773596967,0.20027866680267684,7190,7193
temporal_J,logistic,empirical_mondrian,automatic_error,0.2429090909090909,0.22048002507413747,0.2654294524508019,7190,7193
temporal_J,logistic,mondrian_cp,coverage,0.9535659669122758,0.9486830958781869,0.9584435078209229,7190,7193
temporal_J,logistic,mondrian_cp,fail_coverage,0.9647529069767442,0.9577454692311576,0.9712230854747818,7190,7193
temporal_J,logistic,mondrian_cp,automatic_coverage,0.19115807034616988,0.18195560773596967,0.20027866680267684,7190,7193
temporal_J,logistic,mondrian_cp,automatic_error,0.2429090909090909,0.22048002507413747,0.2654294524508019,7190,7193
temporal_J,logistic,weighted_cap10,coverage,0.9535659669122758,0.9486830958781869,0.9584435078209229,7190,7193
temporal_J,logistic,weighted_cap10,fail_coverage,0.9647529069767442,0.9577454692311576,0.9712230854747818,7190,7193
temporal_J,logistic,weighted_cap10,automatic_coverage,0.19115807034616988,0.18195560773596967,0.20027866680267684,7190,7193
temporal_J,logistic,weighted_cap10,automatic_error,0.2429090909090909,0.22048002507413747,0.2654294524508019,7190,7193
