setting,model,calibration,method,observed_coverage,fail_coverage,automatic_error_rate,brier,ece,calibration_slope,calibration_intercept
iid,catboost,none,MCP,0.925,0.9209183673469388,0.2435664779133206,,,,
iid,catboost,none,probability,,,,0.22114488157831866,0.02917554219701366,0.8914114547314881,0.01221988811695318
iid,catboost,platt,EIQ-batch,0.9254672897196261,0.9204081632653061,0.24208209917586404,,,,
iid,catboost,platt,EQ,0.9228971962616823,0.9198979591836733,0.24314186262200294,,,,
iid,catboost,platt,MCP,0.925,0.9209183673469388,0.2435664779133206,,,,
iid,catboost,platt,probability,,,,0.2217064135048422,0.031616386344844025,1.2260505988028205,0.03288524268161074
iid,logistic,isotonic,EIQ-batch,0.9609813084112149,0.9683673469387756,0.24221981580454094,,,,
iid,logistic,isotonic,EQ,0.9537383177570093,0.9683673469387756,0.2532069881414065,,,,
iid,logistic,isotonic,MCP,0.9537383177570093,0.9683673469387756,0.25390812749285263,,,,
iid,logistic,isotonic,probability,,,,0.22416821866576403,0.04674983864793898,0.632181270532195,-0.07450385765590295
iid,logistic,none,EIQ-batch,0.9252336448598131,0.9316326530612244,0.23636667389752986,,,,
iid,logistic,none,EQ,0.9156542056074766,0.9280612244897959,0.24828411459926425,,,,
iid,logistic,none,MCP,0.9205607476635513,0.935204081632653,0.24777506805495322,,,,
iid,logistic,none,probability,,,,0.22287365817569205,0.042954409208040015,1.111027696846807,-0.17346554861479088
iid,logistic,platt,EIQ-batch,0.9252336448598131,0.9316326530612244,0.23636667389752986,,,,
iid,logistic,platt,EQ,0.9156542056074766,0.9280612244897959,0.24828411459926425,,,,
iid,logistic,platt,MCP,0.9205607476635513,0.935204081632653,0.24777506805495322,,,,
iid,logistic,platt,probability,,,,0.22195267259715315,0.03326213128357366,1.1733545350135,0.014786000815031158
temporal_1,catboost,isotonic,EIQ-batch,0.9187590187590187,0.9193043478260868,0.36845321347559246,,,,
temporal_1,catboost,isotonic,EQ,0.9468975468975469,0.9273043478260868,0.32838198705663413,,,,
temporal_1,catboost,isotonic,MCP,0.9591630591630592,0.9568695652173913,0.33781215465439945,,,,
temporal_1,catboost,isotonic,probability,,,,0.2448703885090306,0.07081749729691829,0.33859948913787685,-0.3294964015788985
temporal_1,catboost,none,EIQ-batch,0.8317460317460318,0.8194782608695652,0.38830827905472326,,,,
temporal_1,catboost,none,EQ,0.8946608946608947,0.8716521739130435,0.34569225089265654,,,,
temporal_1,catboost,none,MCP,0.9021645021645022,0.8800000000000001,0.34496115394346066,,,,
temporal_1,catboost,none,probability,,,,0.2502393916737036,0.0962035009178792,0.3944358841648722,-0.28705862422399175
temporal_1,catboost,platt,EIQ-batch,0.8317460317460318,0.8194782608695652,0.38830827905472326,,,,
temporal_1,catboost,platt,EQ,0.8946608946608947,0.8716521739130435,0.34569225089265654,,,,
temporal_1,catboost,platt,MCP,0.9021645021645022,0.8800000000000001,0.34496115394346066,,,,
temporal_1,catboost,platt,probability,,,,0.24142025615693377,0.07062180780273089,1.0146212837626272,-0.29782157119214736
temporal_1,logistic,isotonic,EIQ-batch,0.9082251082251082,0.8772173913043477,0.31464399039364305,,,,
temporal_1,logistic,isotonic,EQ,0.9023088023088024,0.8045217391304348,0.27234213140677016,,,,
temporal_1,logistic,isotonic,MCP,0.9092352092352092,0.8128695652173914,0.2678561834484167,,,,
temporal_1,logistic,isotonic,probability,,,,0.23755054253442162,0.07143980729697459,0.20868489967470844,-0.20115719723415304
temporal_1,logistic,none,EIQ-batch,0.8584415584415584,0.8198260869565217,0.3121811261102628,,,,
temporal_1,logistic,none,EQ,0.8715728715728716,0.784695652173913,0.2943978234641555,,,,
temporal_1,logistic,none,MCP,0.880952380952381,0.798608695652174,0.29137415238311287,,,,
temporal_1,logistic,none,probability,,,,0.23046546779926552,0.04523189707659274,0.6136132872352565,-0.11242782312729611
temporal_1,logistic,platt,EIQ-batch,0.8584415584415584,0.8198260869565217,0.3121811261102628,,,,
temporal_1,logistic,platt,EQ,0.8715728715728716,0.784695652173913,0.2943978234641555,,,,
temporal_1,logistic,platt,MCP,0.880952380952381,0.798608695652174,0.29137415238311287,,,,
temporal_1,logistic,platt,probability,,,,0.22834508113879742,0.03485995737659142,0.8074804429806065,-0.11255871919709129
