roc_auc,pr_auc,macro_f1,balanced_accuracy,brier,nll,ece,calibration_slope,calibration_intercept,setting,model,seed,calibration,kind,n_test,n_train,n_calibrator_fit,n_conformal_score,n_features,features,nominal_coverage,observed_coverage,coverage_gap,average_set_size,singleton_rate,ambiguity_rate,empty_set_rate,pass_coverage,fail_coverage,automatic_coverage,automatic_error_rate,deferral_rate,n_automatic,undercoverage,overcoverage,n_pass,n_fail,coverage_ci_lower,coverage_ci_upper,pass_ci_lower,pass_ci_upper,fail_ci_lower,fail_ci_upper,automatic_error_ci_lower,automatic_error_ci_upper,automatic_false_negative_fraction,automatic_false_positive_fraction,method,alpha,domain_auc,weight_min,weight_median,weight_mean,weight_max,raw_weight_p99,effective_sample_size,weight_cap,ess_class_0,ess_class_1
,,,,,,,,,course_1,logistic,42,isotonic,conformal,2100,,,,,,0.8,0.809047619047619,0.0090476190476189,1.4847619047619047,0.5152380952380953,0.4847619047619048,0.0,0.7091932457786116,0.9119922630560928,0.5152380952380953,0.3706099815157117,0.4847619047619048,1082.0,0.0,0.0090476190476189,1066.0,1034.0,0.7916784123521889,0.8252882295769952,0.6812189542947239,0.7356652450628464,0.8931639069868252,0.9277707287986184,0.3423375441263613,0.3997979235098615,0.0880077369439071,0.2908067542213883,mondrian_cp,0.2,0.8973525007487272,,,,,,,,,
,,,,,,,,,course_1,logistic,42,isotonic,conformal,2100,,,,,,0.8,0.809047619047619,0.0090476190476189,1.4847619047619047,0.5152380952380953,0.4847619047619048,0.0,0.7091932457786116,0.9119922630560928,0.5152380952380953,0.3706099815157117,0.4847619047619048,1082.0,0.0,0.0090476190476189,1066.0,1034.0,0.7916784123521889,0.8252882295769952,0.6812189542947239,0.7356652450628464,0.8931639069868252,0.9277707287986184,0.3423375441263613,0.3997979235098615,0.0880077369439071,0.2908067542213883,empirical_mondrian,0.2,0.8973525007487272,,,,,,,,,
,,,,,,,,,course_1,logistic,42,isotonic,conformal,2100,,,,,,0.8,0.8366666666666667,0.0366666666666666,1.506190476190476,0.4938095238095238,0.5061904761904762,0.0,0.8855534709193246,0.7862669245647969,0.4938095238095238,0.33076181292189,0.5061904761904762,1037.0,0.0,0.0366666666666666,1066.0,1034.0,0.820243686507628,0.8518601899853354,0.8650424745317644,0.9032956686788248,0.7602444380060153,0.8101702385021802,0.3027968618146673,0.359975986993936,0.2137330754352031,0.1144465290806754,weighted_cap5,0.2,0.8973525007487272,1.8507265690337675e-05,0.3054860474768305,0.7893991152887718,5.0,6.857392950508902,83.99144413336303,5.0,40.31617641309272,43.945122595920665
,,,,,,,,,course_1,logistic,42,isotonic,conformal,2100,,,,,,0.8,0.8366666666666667,0.0366666666666666,1.506190476190476,0.4938095238095238,0.5061904761904762,0.0,0.8855534709193246,0.7862669245647969,0.4938095238095238,0.33076181292189,0.5061904761904762,1037.0,0.0,0.0366666666666666,1066.0,1034.0,0.820243686507628,0.8518601899853354,0.8650424745317644,0.9032956686788248,0.7602444380060153,0.8101702385021802,0.3027968618146673,0.359975986993936,0.2137330754352031,0.1144465290806754,weighted_cap10,0.2,0.8973525007487272,1.8507265690337675e-05,0.3054860474768305,0.8473807691495828,10.0,6.857392950508902,69.39048553457953,10.0,37.17872223035105,34.375556365267336
,,,,,,,,,course_1,logistic,42,isotonic,conformal,2100,,,,,,0.8,0.8366666666666667,0.0366666666666666,1.506190476190476,0.4938095238095238,0.5061904761904762,0.0,0.8855534709193246,0.7862669245647969,0.4938095238095238,0.33076181292189,0.5061904761904762,1037.0,0.0,0.0366666666666666,1066.0,1034.0,0.820243686507628,0.8518601899853354,0.8650424745317644,0.9032956686788248,0.7602444380060153,0.8101702385021802,0.3027968618146673,0.359975986993936,0.2137330754352031,0.1144465290806754,weighted_cap20,0.2,0.8973525007487272,1.8507265690337675e-05,0.3054860474768305,0.8910150919470987,19.289704205330867,6.857392950508902,53.6610210161609,20.0,37.17872223035105,24.65257565870946
,,,,,,,,,course_1,logistic,42,isotonic,conformal,2100,,,,,,0.8,0.8366666666666667,0.0366666666666666,1.506190476190476,0.4938095238095238,0.5061904761904762,0.0,0.8855534709193246,0.7862669245647969,0.4938095238095238,0.33076181292189,0.5061904761904762,1037.0,0.0,0.0366666666666666,1066.0,1034.0,0.820243686507628,0.8518601899853354,0.8650424745317644,0.9032956686788248,0.7602444380060153,0.8101702385021802,0.3027968618146673,0.359975986993936,0.2137330754352031,0.1144465290806754,weighted_p99,0.2,0.8973525007487272,1.8507265690337675e-05,0.3054860474768305,0.821756258463369,6.857392950508902,6.857392950508902,76.83347469987802,6.857392950508902,38.10916268745891,39.47846563284736
,,,,,,,,,course_1,logistic,42,isotonic,conformal,2100,,,,,,0.85,0.8985714285714286,0.0485714285714286,1.681904761904762,0.3180952380952381,0.6819047619047619,0.0,0.8855534709193246,0.9119922630560928,0.3180952380952381,0.3188622754491018,0.6819047619047619,668.0,0.0,0.0485714285714286,1066.0,1034.0,0.884922907229087,0.9107644260447608,0.8650424745317644,0.9032956686788248,0.8931639069868252,0.9277707287986184,0.2846429452696369,0.3551530262013842,0.0880077369439071,0.1144465290806754,split_cp,0.15,0.8973525007487272,,,,,,,,,
,,,,,,,,,course_1,logistic,42,isotonic,conformal,2100,,,,,,0.85,0.8633333333333333,0.0133333333333333,1.5985714285714283,0.4014285714285714,0.5985714285714285,0.0,0.8161350844277674,0.9119922630560928,0.4014285714285714,0.3404507710557533,0.5985714285714285,843.0,0.0,0.0133333333333333,1066.0,1034.0,0.847977088576197,0.8773627385300704,0.7917598700057129,0.8382400187095389,0.8931639069868252,0.9277707287986184,0.3092510988781877,0.3730979439112292,0.0880077369439071,0.1838649155722326,mondrian_cp,0.15,0.8973525007487272,,,,,,,,,
,,,,,,,,,course_1,logistic,42,isotonic,conformal,2100,,,,,,0.85,0.8633333333333333,0.0133333333333333,1.5985714285714283,0.4014285714285714,0.5985714285714285,0.0,0.8161350844277674,0.9119922630560928,0.4014285714285714,0.3404507710557533,0.5985714285714285,843.0,0.0,0.0133333333333333,1066.0,1034.0,0.847977088576197,0.8773627385300704,0.7917598700057129,0.8382400187095389,0.8931639069868252,0.9277707287986184,0.3092510988781877,0.3730979439112292,0.0880077369439071,0.1838649155722326,empirical_mondrian,0.15,0.8973525007487272,,,,,,,,,
,,,,,,,,,course_1,logistic,42,isotonic,conformal,2100,,,,,,0.85,0.9138095238095238,0.0638095238095238,1.7166666666666666,0.2833333333333333,0.7166666666666667,0.0,0.9155722326454032,0.9119922630560928,0.2833333333333333,0.3042016806722689,0.7166666666666667,595.0,0.0,0.0638095238095238,1066.0,1034.0,0.9010379528351438,0.9250699236463064,0.8973532641958534,0.9308068269046113,0.8931639069868252,0.9277707287986184,0.2685882289280832,0.3423271534857365,0.0880077369439071,0.0844277673545966,weighted_cap5,0.15,0.8973525007487272,1.8507265690337675e-05,0.3054860474768305,0.7893991152887718,5.0,6.857392950508902,83.99144413336303,5.0,40.31617641309272,43.945122595920665
,,,,,,,,,course_1,logistic,42,isotonic,conformal,2100,,,,,,0.85,0.9138095238095238,0.0638095238095238,1.7166666666666666,0.2833333333333333,0.7166666666666667,0.0,0.9155722326454032,0.9119922630560928,0.2833333333333333,0.3042016806722689,0.7166666666666667,595.0,0.0,0.0638095238095238,1066.0,1034.0,0.9010379528351438,0.9250699236463064,0.8973532641958534,0.9308068269046113,0.8931639069868252,0.9277707287986184,0.2685882289280832,0.3423271534857365,0.0880077369439071,0.0844277673545966,weighted_cap10,0.15,0.8973525007487272,1.8507265690337675e-05,0.3054860474768305,0.8473807691495828,10.0,6.857392950508902,69.39048553457953,10.0,37.17872223035105,34.375556365267336
,,,,,,,,,course_1,logistic,42,isotonic,conformal,2100,,,,,,0.85,0.9138095238095238,0.0638095238095238,1.7166666666666666,0.2833333333333333,0.7166666666666667,0.0,0.9155722326454032,0.9119922630560928,0.2833333333333333,0.3042016806722689,0.7166666666666667,595.0,0.0,0.0638095238095238,1066.0,1034.0,0.9010379528351438,0.9250699236463064,0.8973532641958534,0.9308068269046113,0.8931639069868252,0.9277707287986184,0.2685882289280832,0.3423271534857365,0.0880077369439071,0.0844277673545966,weighted_cap20,0.15,0.8973525007487272,1.8507265690337675e-05,0.3054860474768305,0.8910150919470987,19.289704205330867,6.857392950508902,53.6610210161609,20.0,37.17872223035105,24.65257565870946
