setting,model,comparison,metric,estimate,ci_lower,ci_upper,n_entities,iterations
temporal_1,logistic,weighted_cap10-minus-empirical_mondrian,undercoverage,0.04862914862914869,0.030591630591630614,0.06812770562770554,1386,2000
temporal_1,logistic,weighted_cap10-minus-empirical_mondrian,absolute_coverage_gap,0.02510822510822519,-0.00303030303030305,0.056854256854256935,1386,2000
temporal_1,logistic,weighted_cap10-minus-empirical_mondrian,automatic_coverage,0.1702741702741703,0.1507936507936508,0.18975468975468973,1386,2000
temporal_1,logistic,weighted_cap10-minus-empirical_mondrian,automatic_error,0.06152052323780721,0.03387661760661217,0.09154993119137324,1386,2000
temporal_2,catboost,weighted_cap10-minus-mondrian_cp,coverage,0.0,0.0,0.0,1399,2000
temporal_2,catboost,weighted_cap10-minus-mondrian_cp,undercoverage,0.0,0.0,0.0,1399,2000
temporal_2,catboost,weighted_cap10-minus-mondrian_cp,absolute_coverage_gap,0.0,0.0,0.0,1399,2000
temporal_2,catboost,weighted_cap10-minus-mondrian_cp,automatic_coverage,0.0,0.0,0.0,1399,2000
temporal_2,catboost,weighted_cap10-minus-mondrian_cp,automatic_error,0.0,0.0,0.0,1399,2000
temporal_2,catboost,weighted_cap10-minus-empirical_mondrian,coverage,0.0,0.0,0.0,1399,2000
temporal_2,catboost,weighted_cap10-minus-empirical_mondrian,undercoverage,0.0,0.0,0.0,1399,2000
temporal_2,catboost,weighted_cap10-minus-empirical_mondrian,absolute_coverage_gap,0.0,0.0,0.0,1399,2000
temporal_2,catboost,weighted_cap10-minus-empirical_mondrian,automatic_coverage,0.0,0.0,0.0,1399,2000
temporal_2,catboost,weighted_cap10-minus-empirical_mondrian,automatic_error,0.0,0.0,0.0,1399,2000
temporal_2,logistic,weighted_cap10-minus-mondrian_cp,coverage,0.0,0.0,0.0,1399,2000
temporal_2,logistic,weighted_cap10-minus-mondrian_cp,undercoverage,0.0,0.0,0.0,1399,2000
temporal_2,logistic,weighted_cap10-minus-mondrian_cp,absolute_coverage_gap,0.0,0.0,0.0,1399,2000
temporal_2,logistic,weighted_cap10-minus-mondrian_cp,automatic_coverage,0.0014295925661186315,0.0,0.0035739814152966343,1399,2000
temporal_2,logistic,weighted_cap10-minus-mondrian_cp,automatic_error,-0.0008924018357980845,-0.0022623847774565524,0.0,1399,2000
temporal_2,logistic,weighted_cap10-minus-empirical_mondrian,coverage,0.0,0.0,0.0,1399,2000
temporal_2,logistic,weighted_cap10-minus-empirical_mondrian,undercoverage,0.0,0.0,0.0,1399,2000
temporal_2,logistic,weighted_cap10-minus-empirical_mondrian,absolute_coverage_gap,0.0,0.0,0.0,1399,2000
temporal_2,logistic,weighted_cap10-minus-empirical_mondrian,automatic_coverage,0.0,0.0,0.0,1399,2000
temporal_2,logistic,weighted_cap10-minus-empirical_mondrian,automatic_error,0.0,0.0,0.0,1399,2000
