policy,automatic_coverage,automatic_error_rate,automatic_false_negative_fraction,automatic_false_positive_fraction,expected_n_automatic,setting,model,seed,calibration,matched_method
singleton,0.3142857142857143,0.3954545454545454,0.0212765957446808,0.224202626641651,660.0,course_1,catboost,42,isotonic,empirical_mondrian
confidence,0.1571428571428571,0.3454545454545454,0.0212765957446808,0.0863039399624765,330.0,course_1,catboost,42,isotonic,weighted_cap5
random,0.1571428571428571,0.4133333333333335,0.0416413373860182,0.0875636558563388,329.99999999999994,course_1,catboost,42,isotonic,weighted_cap5
singleton,0.1571428571428571,0.3454545454545454,0.0212765957446808,0.0863039399624765,330.0,course_1,catboost,42,isotonic,weighted_cap5
confidence,0.1571428571428571,0.3454545454545454,0.0212765957446808,0.0863039399624765,330.0,course_1,catboost,42,isotonic,weighted_cap10
random,0.1571428571428571,0.4133333333333335,0.0416413373860182,0.0875636558563388,329.99999999999994,course_1,catboost,42,isotonic,weighted_cap10
singleton,0.1571428571428571,0.3454545454545454,0.0212765957446808,0.0863039399624765,330.0,course_1,catboost,42,isotonic,weighted_cap10
confidence,0.1571428571428571,0.3454545454545454,0.0212765957446808,0.0863039399624765,330.0,course_1,catboost,42,isotonic,weighted_cap20
random,0.1571428571428571,0.4133333333333335,0.0416413373860182,0.0875636558563388,329.99999999999994,course_1,catboost,42,isotonic,weighted_cap20
singleton,0.1571428571428571,0.3454545454545454,0.0212765957446808,0.0863039399624765,330.0,course_1,catboost,42,isotonic,weighted_cap20
confidence,0.1571428571428571,0.3454545454545454,0.0212765957446808,0.0863039399624765,330.0,course_1,catboost,42,isotonic,weighted_p99
random,0.1571428571428571,0.4133333333333335,0.0416413373860182,0.0875636558563388,329.99999999999994,course_1,catboost,42,isotonic,weighted_p99
singleton,0.1571428571428571,0.3454545454545454,0.0212765957446808,0.0863039399624765,330.0,course_1,catboost,42,isotonic,weighted_p99
confidence,0.2,0.2591743119266055,0.0958019375672766,0.0191846522781774,436.0,course_2,logistic,42,none,fixed_budget
random,0.2,0.3674311926605503,0.1106566200215285,0.0458832933653077,436.0,course_2,logistic,42,none,fixed_budget
confidence,0.4,0.2912844036697247,0.2109795479009688,0.0463629096722621,872.0,course_2,logistic,42,none,fixed_budget
random,0.4,0.3674311926605503,0.2213132400430571,0.0917665867306155,871.9999999999999,course_2,logistic,42,none,fixed_budget
confidence,0.6,0.3256880733944954,0.32508073196986,0.0991207034372502,1308.0,course_2,logistic,42,none,fixed_budget
random,0.6,0.3674311926605508,0.3319698600645856,0.1376498800959232,1308.0,course_2,logistic,42,none,fixed_budget
confidence,0.8,0.3514908256880734,0.4531754574811625,0.1534772182254196,1744.0,course_2,logistic,42,none,fixed_budget
random,0.8,0.3674311926605503,0.4426264800861143,0.183533173461231,1743.9999999999998,course_2,logistic,42,none,fixed_budget
confidence,0.2,0.2545871559633027,0.10010764262648,0.014388489208633,436.0,course_2,logistic,42,platt,fixed_budget
random,0.2,0.375229357798165,0.1214208826695371,0.0406075139888089,436.0,course_2,logistic,42,platt,fixed_budget
confidence,0.4,0.2935779816513761,0.2271259418729817,0.0359712230215827,872.0,course_2,logistic,42,platt,fixed_budget
random,0.4,0.375229357798165,0.2428417653390743,0.0812150279776179,871.9999999999999,course_2,logistic,42,platt,fixed_budget
confidence,0.6,0.3253571591583367,0.3584499461786867,0.0739945357147118,1308.0,course_2,logistic,42,platt,fixed_budget
random,0.6,0.3752293577981655,0.3642626480086115,0.1218225419664268,1308.0,course_2,logistic,42,platt,fixed_budget
confidence,0.8,0.3520642201834862,0.4811625403659849,0.1334932054356515,1744.0,course_2,logistic,42,platt,fixed_budget
