roc_auc,pr_auc,macro_f1,balanced_accuracy,brier,nll,ece,week,setting,model,n_test
0.6756171275293885,0.6442834061907036,0.615143881766157,0.6249551910406803,0.24575776563887777,0.7177244894601913,0.12947786801050326,6,temporal_2,catboost,1399
0.6711699043043101,0.6522500798922604,0.6193674525589419,0.6267214881641452,0.235589912698007,0.6719010066175819,0.08083311169513284,6,course_1,logistic,2100
0.6470214398989698,0.6086373473077054,0.6069164330674188,0.6090711312558744,0.24656939097518088,0.7022189979551493,0.08634947034432207,6,course_1,catboost,2100
0.6797515701109726,0.604466121686666,0.6146807397922334,0.6165801481527372,0.22245738685697045,0.6396568617958011,0.036306771440021444,6,course_2,logistic,2180
0.6321143300644737,0.5643734149740705,0.6055298204979733,0.605392112574741,0.23968516586616842,0.6788100693525746,0.08086736867275701,6,course_2,catboost,2180
0.726845641273751,0.6797193228536769,0.6671777797248751,0.6682353976073188,0.2113117652670081,0.6090824289176623,0.042121148002051016,8,iid,logistic,856
0.7203471366995073,0.6692911510900255,0.656160838147297,0.6557441942294159,0.2131878642017594,0.6163681279918892,0.03609259835181112,8,iid,catboost,856
0.6936192569559855,0.6011500914387049,0.6259789398333707,0.6261780946764596,0.22992803963791258,0.7272354696899717,0.09328524701207237,8,temporal_1,logistic,1386
0.696280491073822,0.5988704275621445,0.6398926233186689,0.6382919637591808,0.2246445331897813,0.6543145246548125,0.0867063677085359,8,temporal_1,catboost,1386
0.7082236286398266,0.6782607098586607,0.6390113160118029,0.6386162581325686,0.21870872212295955,0.6376526833186851,0.06308723889685154,8,temporal_2,logistic,1399
0.7033925017614556,0.6699385582227284,0.6355569478335421,0.6426222821048468,0.2333659452006173,0.6807180707853251,0.11653965593266585,8,temporal_2,catboost,1399
0.6921384920217303,0.6723517508789141,0.6428411840181802,0.646029372806747,0.23048847839832604,0.6657143157370198,0.08056631187528435,8,course_1,logistic,2100
0.6662313426065372,0.637838829681237,0.6244033508484502,0.6261018431490668,0.24728484252819768,0.7114925134564933,0.11123973637231538,8,course_1,catboost,2100
0.6751386834558188,0.6037921500711351,0.6302751089164653,0.6293570095484431,0.22408890639072307,0.6398356310541516,0.04575749970347557,8,course_2,logistic,2180
0.6622955672060845,0.5882904563085415,0.6114193609429066,0.6173696134588562,0.23293145759382172,0.6594857900130292,0.08588684756790863,8,course_2,catboost,2180
