setting,model,calibration,method,course,seed,nominal_coverage,observed_coverage,coverage_gap,average_set_size,singleton_rate,ambiguity_rate,empty_set_rate,pass_coverage,fail_coverage,automatic_coverage,automatic_error_rate,deferral_rate,n_automatic,undercoverage,overcoverage,n_test,n_pass,n_fail,coverage_ci_lower,coverage_ci_upper,pass_ci_lower,pass_ci_upper,fail_ci_lower,fail_ci_upper,automatic_error_ci_lower,automatic_error_ci_upper,automatic_false_negative_fraction,automatic_false_positive_fraction,review_fraction
temporal_1,logistic,platt,EQ,Accountancy,19,0.9,0.8794326241134752,0.020567375886524797,1.5773049645390071,0.4226950354609929,0.577304964539007,0.0,0.9437340153452686,0.7993630573248408,0.4226950354609929,0.28523489932885904,0.577304964539007,298,0.020567375886524797,0.0,705,391,314,0.8533171159333297,0.9014355771302001,0.9162812959143202,0.9625524543114384,0.7515693893561906,0.8399204707065826,0.2369569094376259,0.3389794099132652,0.20063694267515925,0.056265984654731455,0.5773049645390071
temporal_1,logistic,platt,EQ,Accountancy,42,0.9,0.9148936170212766,0.014893617021276562,1.7049645390070922,0.2950354609929078,0.7049645390070922,0.0,0.9335038363171355,0.89171974522293,0.2950354609929078,0.28846153846153844,0.7049645390070922,208,0.0,0.014893617021276562,705,391,314,0.8919806093358289,0.9333097185934514,0.9043519616177298,0.9542204917728527,0.8524977979141452,0.9214729764233133,0.2311691701037391,0.35342583556753243,0.10828025477707007,0.06649616368286446,0.7049645390070922
temporal_1,logistic,platt,EQ,Accountancy,73,0.9,0.9035460992907801,0.0035460992907800915,1.6382978723404256,0.3617021276595745,0.6382978723404256,0.0,0.9335038363171355,0.8662420382165605,0.3617021276595745,0.26666666666666666,0.6382978723404256,255,0.0,0.0035460992907800915,705,391,314,0.8795169366701238,0.9232013481021163,0.9043519616177298,0.9542204917728527,0.8241331311454196,0.8994980806335049,0.21614598725305517,0.32411313297376193,0.1337579617834395,0.06649616368286446,0.6382978723404256
temporal_1,logistic,platt,EQ,Accountancy,101,0.9,0.9234042553191489,0.023404255319148914,1.6865248226950356,0.31347517730496455,0.6865248226950355,0.0,0.9539641943734015,0.8853503184713376,0.31347517730496455,0.24434389140271492,0.6865248226950355,221,0.0,0.023404255319148914,705,391,314,0.9013975193828085,0.9408218409142517,0.9284104505187406,0.9706845965421939,0.8453589526953539,0.916026931002471,0.1923763350545974,0.3050473136234923,0.11464968152866242,0.04603580562659847,0.6865248226950355
temporal_1,logistic,platt,EQ,Global economics,7,0.9,0.8281938325991189,0.07180616740088108,1.4654919236417034,0.5345080763582967,0.4654919236417034,0.0,0.919047619047619,0.6819923371647509,0.5345080763582967,0.32142857142857145,0.4654919236417034,364,0.07180616740088108,0.0,681,420,261,0.7980416892321458,0.8546641220803584,0.8890058266951069,0.9414933910534649,0.623203312940043,0.735501855136825,0.275530715554659,0.3710561579946626,0.31800766283524906,0.08095238095238096,0.46549192364170333
temporal_1,logistic,platt,EQ,Global economics,19,0.9,0.8164464023494861,0.08355359765051396,1.4243759177679882,0.5756240822320118,0.4243759177679883,0.0,0.9071428571428571,0.6704980842911877,0.5756240822320118,0.31887755102040816,0.4243759177679883,392,0.08355359765051396,0.0,681,420,261,0.7856237377147149,0.8437190020519277,0.8755767254891207,0.931328764482503,0.6113624026473949,0.7246877021825129,0.2746911257892586,0.36657939594170974,0.32950191570881227,0.09285714285714286,0.4243759177679882
temporal_1,logistic,platt,EQ,Global economics,42,0.9,0.8487518355359766,0.05124816446402347,1.4948604992657857,0.5051395007342144,0.4948604992657856,0.0,0.9285714285714286,0.7203065134099617,0.5051395007342144,0.29941860465116277,0.4948604992657856,344,0.05124816446402347,0.0,681,420,261,0.8198901917328941,0.8737009947848676,0.8998630370759932,0.9495111628941371,0.662959282727534,0.7712627628392009,0.25345168307350063,0.34981585016457584,0.2796934865900383,0.07142857142857142,0.49486049926578557
temporal_1,logistic,platt,EQ,Global economics,73,0.9,0.8340675477239354,0.06593245227606459,1.4654919236417034,0.5345080763582967,0.4654919236417034,0.0,0.9404761904761905,0.6628352490421456,0.5345080763582967,0.31043956043956045,0.4654919236417034,364,0.06593245227606459,0.0,681,420,261,0.8042682785714297,0.8601190685140052,0.9136078748319504,0.9593600529151279,0.6034894401213049,0.7174572892106297,0.2650961313025776,0.3597422421574714,0.3371647509578544,0.05952380952380952,0.46549192364170333
temporal_1,logistic,platt,EQ,Global economics,101,0.9,0.8472834067547724,0.052716593245227594,1.486049926578561,0.5139500734214391,0.48604992657856094,0.0,0.9380952380952381,0.7011494252873564,0.5139500734214391,0.29714285714285715,0.48604992657856094,350,0.052716593245227594,0.0,681,420,261,0.8183242631682136,0.8723465394063153,0.9108414891322402,0.9574076930594485,0.6430247228589625,0.753438883962839,0.2516774941443466,0.3470128332320246,0.2988505747126437,0.06190476190476191,0.48604992657856094
temporal_1,logistic,platt,MCP,Accountancy,7,0.9,0.9148936170212766,0.014893617021276562,1.6964539007092199,0.30354609929078014,0.6964539007092199,0.0,0.9386189258312021,0.8853503184713376,0.30354609929078014,0.2803738317757009,0.6964539007092199,214,0.0,0.014893617021276562,705,391,314,0.8919806093358289,0.9333097185934514,0.9102945690212514,0.9584085327869194,0.8453589526953539,0.916026931002471,0.2244725919136657,0.34402093310733745,0.11464968152866242,0.061381074168797956,0.6964539007092199
