setting,course,model,method,metric,estimate,lower,upper,n_test,n_fail,n_automatic_mean,n_automatic_min,n_automatic_max,finite_replicates
iid,pooled,catboost,EQ,coverage,0.9616822429906542,0.9516355140186915,0.9705607476635514,856,392,148.0,84,263,2000
iid,pooled,catboost,EQ,fail_coverage,0.9607142857142857,0.9461322911051212,0.9744245524296675,856,392,148.0,84,263,2000
iid,pooled,catboost,EQ,automatic_coverage,0.17289719626168223,0.15560747663551402,0.1911214953271028,856,392,148.0,84,263,2000
iid,pooled,catboost,EQ,review_fraction,0.8271028037383178,0.8088785046728972,0.844392523364486,856,392,148.0,84,263,2000
iid,pooled,catboost,EQ,singleton_error,0.21858347366886677,0.16758127560948963,0.270851700268658,856,392,148.0,84,263,2000
iid,pooled,catboost,EQ,missed_failure,0.039285714285714285,0.025575447570332484,0.05386770889487869,856,392,148.0,84,263,2000
iid,pooled,catboost,MCP,coverage,0.9616822429906542,0.9516355140186915,0.9705607476635514,856,392,148.0,84,263,2000
iid,pooled,catboost,MCP,fail_coverage,0.9607142857142857,0.9461322911051212,0.9744245524296675,856,392,148.0,84,263,2000
iid,pooled,catboost,MCP,automatic_coverage,0.17289719626168223,0.15560747663551402,0.1911214953271028,856,392,148.0,84,263,2000
iid,pooled,catboost,MCP,review_fraction,0.8271028037383178,0.8088785046728972,0.844392523364486,856,392,148.0,84,263,2000
iid,pooled,catboost,MCP,singleton_error,0.21858347366886677,0.16758127560948963,0.270851700268658,856,392,148.0,84,263,2000
iid,pooled,catboost,MCP,missed_failure,0.039285714285714285,0.025575447570332484,0.05386770889487869,856,392,148.0,84,263,2000
iid,pooled,logistic,EIQ-batch,coverage,0.960981308411215,0.9502336448598131,0.9712616822429908,856,392,134.6,66,235,2000
iid,pooled,logistic,EIQ-batch,fail_coverage,0.9683673469387756,0.9531248051745635,0.9814740785888427,856,392,134.6,66,235,2000
iid,pooled,logistic,EIQ-batch,automatic_coverage,0.1572429906542056,0.1383177570093458,0.17687499999999998,856,392,134.6,66,235,2000
iid,pooled,logistic,EIQ-batch,review_fraction,0.8427570093457943,0.8231249999999999,0.8616822429906542,856,392,134.6,66,235,2000
iid,pooled,logistic,EIQ-batch,singleton_error,0.242219815804541,0.17424561468438618,0.3124544632464232,856,392,134.6,66,235,2000
iid,pooled,logistic,EIQ-batch,missed_failure,0.03163265306122449,0.018525921411157324,0.046875194825436416,856,392,134.6,66,235,2000
iid,pooled,logistic,EQ,coverage,0.9537383177570093,0.9418224299065422,0.9649532710280372,856,392,154.0,71,235,2000
iid,pooled,logistic,EQ,fail_coverage,0.9683673469387756,0.9531248051745635,0.9814740785888427,856,392,154.0,71,235,2000
iid,pooled,logistic,EQ,automatic_coverage,0.17990654205607476,0.1598072429906542,0.20070677570093456,856,392,154.0,71,235,2000
