setting,model,method,seed,n,n_fail,correct,wrong,deferred,detected,missed,fail_deferred
course_1,logistic,MCP,73,2100,1034,0.10238095238095238,0.0419047619047619,0.8557142857142858,0.17311411992263057,0.0183752417794971,0.8085106382978723
course_1,logistic,MCP,101,2100,1034,0.08333333333333333,0.03380952380952381,0.8828571428571429,0.10058027079303675,0.033849129593810444,0.8655705996131529
course_2,catboost,EIQ-batch,7,2180,929,0.033486238532110094,0.022935779816513763,0.9435779816513762,0.03444564047362755,0.02583423035522067,0.9397201291711518
course_2,catboost,EIQ-batch,19,2180,929,0.10458715596330276,0.06743119266055046,0.8279816513761468,0.11517761033369214,0.0688912809472551,0.8159311087190527
course_2,catboost,EIQ-batch,42,2180,929,0.05779816513761468,0.05504587155963303,0.8871559633027523,0.10764262648008611,0.008611410118406888,0.883745963401507
course_2,catboost,EIQ-batch,73,2180,929,0.061467889908256884,0.04128440366972477,0.8972477064220183,0.1442411194833154,0.0,0.8557588805166846
course_2,catboost,EIQ-batch,101,2180,929,0.07889908256880734,0.03256880733944954,0.8885321100917432,0.060279870828848225,0.04413347685683531,0.8955866523143164
course_2,catboost,EQ,7,2180,929,0.033486238532110094,0.022935779816513763,0.9435779816513762,0.03444564047362755,0.02583423035522067,0.9397201291711518
course_2,catboost,EQ,19,2180,929,0.06330275229357799,0.0389908256880734,0.8977064220183486,0.01829924650161464,0.0688912809472551,0.9128094725511302
course_2,catboost,EQ,42,2180,929,0.05779816513761468,0.05504587155963303,0.8871559633027523,0.10764262648008611,0.008611410118406888,0.883745963401507
course_2,catboost,EQ,73,2180,929,0.1724770642201835,0.09220183486238533,0.7353211009174312,0.1442411194833154,0.11948331539289558,0.736275565123789
course_2,catboost,EQ,101,2180,929,0.07889908256880734,0.03256880733944954,0.8885321100917432,0.060279870828848225,0.04413347685683531,0.8955866523143164
course_2,catboost,MCP,7,2180,929,0.033486238532110094,0.022935779816513763,0.9435779816513762,0.03444564047362755,0.02583423035522067,0.9397201291711518
course_2,catboost,MCP,19,2180,929,0.06330275229357799,0.0389908256880734,0.8977064220183486,0.01829924650161464,0.0688912809472551,0.9128094725511302
course_2,catboost,MCP,42,2180,929,0.05779816513761468,0.05504587155963303,0.8871559633027523,0.10764262648008611,0.008611410118406888,0.883745963401507
course_2,catboost,MCP,73,2180,929,0.1724770642201835,0.09220183486238533,0.7353211009174312,0.1442411194833154,0.11948331539289558,0.736275565123789
course_2,catboost,MCP,101,2180,929,0.07889908256880734,0.03256880733944954,0.8885321100917432,0.060279870828848225,0.04413347685683531,0.8955866523143164
course_2,logistic,EIQ-batch,7,2180,929,0.045871559633027525,0.025688073394495414,0.9284403669724771,0.061356297093649086,0.01829924650161464,0.9203444564047363
course_2,logistic,EIQ-batch,19,2180,929,0.056422018348623856,0.03256880733944954,0.9110091743119266,0.13240043057050593,0.0,0.8675995694294941
